p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.257593783781595e-11	0.36482859489734665	0.183	0.104	1.452620586521017e-6	Meristematic cell	AT5G08440
5.277624202424078e-11	1.2363195651491408	0.043	0.012	1.4581547908877485e-6	Meristematic cell	AT4G19890
5.3278569781627715e-11	2.036384910268426	0.037	0.009	1.472033604496592e-6	Meristematic cell	AT4G01340
5.335842428880633e-11	0.8059892294121527	0.08	0.033	1.4742399046754301e-6	Meristematic cell	AT1G70630
5.5929513226109295e-11	0.8217183960564052	0.058	0.02	1.5452765209241737e-6	Meristematic cell	AT4G27730
5.808822191083834e-11	0.13452822605138381	0.942	0.894	1.6049194831745525e-6	Meristematic cell	AT3G25230
5.959199250506947e-11	0.8846746565133339	0.049	0.015	1.6464671609225645e-6	Meristematic cell	AT3G46610
5.990235204914073e-11	0.16906495108762187	0.915	0.753	1.6550420847657091e-6	Meristematic cell	AT5G63510
6.009571036900855e-11	0.2714928473522056	0.138	0.072	1.6603843817853372e-6	Meristematic cell	AT3G56140
6.123022086763356e-11	0.52384532298939	0.175	0.1	1.6917297723518476e-6	Meristematic cell	AT1G73960
6.290005276893124e-11	2.953305360724726	0.02	0.002	1.7378655579528013e-6	Meristematic cell	AT5G04360
6.4103143200811e-11	2.6650445359408295	0.016	0.001	1.771105743495207e-6	Meristematic cell	AT5G49190
6.48882575459518e-11	0.13326866053113884	0.232	0.14	1.7927976677371022e-6	Meristematic cell	AT3G14350
6.746968052468036e-11	0.2332087931589264	0.379	0.257	1.8641198032163936e-6	Meristematic cell	AT1G12820
6.854537348322511e-11	0.3336789134505871	0.112	0.055	1.8938401239680265e-6	Meristematic cell	AT5G57160
6.873493134060174e-11	0.3884658666585188	0.202	0.12	1.8990774180094855e-6	Meristematic cell	AT4G18975
6.964914025918144e-11	0.18162409345972222	0.839	0.684	1.924336096220924e-6	Meristematic cell	AT1G43710
7.248855062915764e-11	0.1901346069241483	0.667	0.466	2.0027861653329964e-6	Meristematic cell	AT1G20770
